Medicare Advantage Monthly Capitation Rates for 2026 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2026 Rate,Parts A&B 3.5% Bonus 2026 Rate,Parts A&B 0% Bonus 2026 Rate,Parts A&B ESRD 2026 Rate
06330,COLORADO,LA PLATA,"1,254.37","1,254.37","1,254.37","8,873.23"
06340,COLORADO,LARIMER,"1,255.55","1,238.23","1,197.82","8,873.23"
06350,COLORADO,LAS ANIMAS,"1,234.19","1,218.76","1,182.76","8,873.23"
06360,COLORADO,LINCOLN,"1,408.60","1,387.47","1,338.17","8,873.23"
06370,COLORADO,LOGAN,"1,268.06","1,249.50","1,206.20","8,873.23"
06380,COLORADO,MESA,"1,283.40","1,267.36","1,229.93","8,873.23"
06390,COLORADO,MINERAL,"1,258.91","1,240.92","1,198.96","8,873.23"
06400,COLORADO,MOFFAT,"1,508.80","1,486.17","1,433.36","8,873.23"
06410,COLORADO,MONTEZUMA,"1,255.95","1,255.95","1,255.95","8,873.23"
06420,COLORADO,MONTROSE,"1,293.77","1,277.60","1,239.86","8,873.23"
